               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039916,           0.0098609,            0.019511,             0.96446,             0.98565,               0.995,             0.60787,            0.020744,           0.0043714,           0.0052402,            0.009307,            0.009307,            0.009307
                  37,            0.033742,           0.0083976,            0.018474,              0.8147,             0.97607,             0.97718,             0.57163,            0.022273,            0.004776,           0.0059505,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030411,           0.0084752,            0.013918,             0.87748,             0.91805,             0.96795,             0.57693,            0.020644,            0.004426,           0.0047836,           0.0092674,           0.0092674,           0.0092674
                  39,            0.030235,           0.0080402,            0.012501,             0.85667,             0.93309,             0.97933,             0.64031,            0.022557,           0.0040526,           0.0047681,           0.0092476,           0.0092476,           0.0092476
                  40,            0.038848,           0.0095622,            0.014158,             0.95306,             0.99798,             0.99481,             0.64337,            0.024393,           0.0038309,           0.0044506,           0.0092278,           0.0092278,           0.0092278
                  41,            0.034233,           0.0090343,            0.014924,             0.87805,             0.98894,             0.96066,             0.68021,            0.018168,           0.0044949,           0.0058467,            0.009208,            0.009208,            0.009208
                  42,            0.036217,           0.0087416,            0.016487,             0.74223,             0.93144,             0.95108,             0.63149,            0.027312,           0.0039585,           0.0065401,           0.0091882,           0.0091882,           0.0091882
                  43,            0.039685,           0.0093501,             0.01866,             0.99404,                   1,               0.995,             0.74121,            0.017488,           0.0037235,           0.0038052,           0.0091684,           0.0091684,           0.0091684
                  44,            0.029573,           0.0080698,           0.0089181,              0.9609,             0.97456,             0.99169,             0.68378,            0.022325,            0.003996,           0.0051691,           0.0091486,           0.0091486,           0.0091486
                  45,            0.043066,           0.0096317,            0.020482,             0.96575,                0.98,             0.99014,             0.73946,            0.015658,           0.0037979,           0.0050773,           0.0091288,           0.0091288,           0.0091288
                  46,             0.03346,           0.0089805,            0.013474,             0.90156,             0.99333,             0.99233,             0.79486,            0.011893,           0.0036615,           0.0042248,            0.009109,            0.009109,            0.009109
                  47,            0.027849,           0.0098358,            0.011604,             0.97338,             0.99576,               0.995,             0.70261,            0.020062,           0.0043279,           0.0047417,           0.0090892,           0.0090892,           0.0090892
                  48,             0.03415,           0.0091244,            0.015377,             0.93319,             0.97189,             0.99462,             0.70295,            0.017775,           0.0040249,           0.0033709,           0.0090694,           0.0090694,           0.0090694
                  49,             0.02977,           0.0088878,            0.012874,             0.85877,             0.95911,             0.98883,             0.68741,            0.020467,           0.0039539,           0.0034115,           0.0090496,           0.0090496,           0.0090496
                  50,            0.029007,           0.0090195,            0.013236,             0.96073,              0.9916,               0.995,             0.82262,            0.013773,           0.0037477,           0.0047485,           0.0090298,           0.0090298,           0.0090298
                  51,            0.032153,           0.0090812,            0.013532,             0.97444,                   1,             0.99241,             0.75164,            0.017274,           0.0037801,            0.002916,             0.00901,             0.00901,             0.00901
                  52,             0.03274,           0.0092452,           0.0086277,             0.93236,             0.98762,             0.98566,             0.80607,            0.020253,           0.0038888,           0.0027473,           0.0089902,           0.0089902,           0.0089902
                  53,            0.038503,           0.0092614,            0.012938,             0.89787,             0.98115,             0.98778,             0.73573,            0.018186,           0.0038411,            0.003818,           0.0089704,           0.0089704,           0.0089704
                  54,             0.03163,           0.0093457,            0.010789,             0.87658,             0.84916,             0.98189,             0.66802,            0.021535,           0.0038145,           0.0053497,           0.0089506,           0.0089506,           0.0089506
                  55,            0.032871,           0.0091547,           0.0095862,             0.95323,             0.98745,             0.99037,             0.70493,            0.016228,           0.0038201,           0.0050117,           0.0089308,           0.0089308,           0.0089308
                  56,            0.034399,           0.0092381,            0.011643,              0.9856,             0.98231,               0.995,             0.72606,            0.016696,           0.0036875,           0.0042431,            0.008911,            0.008911,            0.008911
                  57,            0.033077,           0.0079964,            0.015263,             0.86835,             0.99333,             0.98543,             0.74605,            0.019816,            0.003767,           0.0064145,           0.0088912,           0.0088912,           0.0088912
                  58,            0.030255,           0.0084202,           0.0099023,             0.86033,             0.95656,             0.99397,             0.66037,            0.017081,           0.0038725,           0.0096948,           0.0088714,           0.0088714,           0.0088714
                  59,            0.032482,           0.0093628,            0.010257,             0.84078,             0.92602,             0.98726,             0.73293,            0.017818,           0.0038095,            0.006233,           0.0088516,           0.0088516,           0.0088516
                  60,            0.035788,           0.0093174,           0.0099189,             0.89755,             0.99132,             0.98005,             0.71304,            0.019346,           0.0036585,           0.0041496,           0.0088318,           0.0088318,           0.0088318
                  61,            0.038165,            0.010084,            0.011534,             0.90489,             0.87858,             0.96185,             0.62014,            0.022258,           0.0039104,           0.0040256,            0.008812,            0.008812,            0.008812
                  62,             0.04185,            0.009366,            0.010972,              0.9444,             0.95946,              0.9866,             0.75702,            0.017015,           0.0039903,           0.0032897,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034589,           0.0090753,           0.0097567,             0.89258,                   1,              0.9852,             0.74806,            0.020236,            0.003832,             0.00422,           0.0087724,           0.0087724,           0.0087724
                  64,            0.032764,           0.0096428,            0.013476,             0.96967,             0.98903,               0.995,             0.67172,            0.016043,           0.0044391,            0.005007,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028512,           0.0085754,           0.0098499,             0.89667,              0.9977,             0.95708,             0.66494,            0.020207,           0.0037501,           0.0029286,           0.0087328,           0.0087328,           0.0087328
                  66,            0.031554,           0.0089309,           0.0099908,             0.95268,                   1,             0.98689,             0.75041,            0.017928,           0.0039596,           0.0026927,            0.008713,            0.008713,            0.008713
                  67,            0.033598,           0.0092699,            0.010398,             0.98796,             0.99214,             0.99332,             0.66998,            0.022181,           0.0038023,           0.0028198,           0.0086932,           0.0086932,           0.0086932
                  68,            0.036717,           0.0088423,             0.01134,             0.99276,                   1,               0.995,             0.69779,            0.018231,           0.0040985,           0.0028518,           0.0086734,           0.0086734,           0.0086734
                  69,            0.032397,            0.008796,            0.012305,             0.99128,              0.9988,               0.995,             0.65715,            0.018398,           0.0040635,           0.0026372,           0.0086536,           0.0086536,           0.0086536
                  70,            0.029311,           0.0090077,           0.0094287,             0.98316,                   1,               0.995,             0.69992,            0.016396,           0.0038516,           0.0027631,           0.0086338,           0.0086338,           0.0086338
                  71,            0.026845,           0.0080335,           0.0059359,             0.97137,                   1,             0.99481,             0.82248,            0.012896,           0.0046074,            0.003168,            0.008614,            0.008614,            0.008614
                  72,            0.036281,            0.008327,           0.0065423,             0.98534,             0.99385,             0.99481,             0.72432,            0.015742,            0.004529,           0.0032228,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033235,           0.0092911,           0.0067889,             0.98142,             0.93012,             0.99055,             0.80742,            0.015881,           0.0035926,           0.0052776,           0.0085744,           0.0085744,           0.0085744
                  74,            0.031573,            0.007925,           0.0099062,             0.98565,                   1,             0.99461,             0.74704,            0.021064,           0.0034151,           0.0026998,           0.0085546,           0.0085546,           0.0085546
                  75,            0.028268,           0.0083402,           0.0094382,             0.99113,                   1,               0.995,             0.68237,            0.020534,           0.0040071,           0.0024356,           0.0085348,           0.0085348,           0.0085348
