               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012527,            0.005176,          0.00099695,             0.99655,                   1,               0.995,             0.93937,           0.0047709,           0.0018183,          0.00015791,              0.0919,              0.0009,              0.0009
                   1,            0.012685,           0.0057142,          0.00087289,             0.99653,                   1,               0.995,             0.90248,            0.007672,           0.0022218,          0.00015832,            0.082862,           0.0018624,           0.0018624
                   2,            0.012442,           0.0056356,          0.00079555,             0.99622,                   1,               0.995,             0.87663,            0.008514,           0.0022953,          0.00016376,            0.073785,           0.0027852,           0.0027852
                   3,            0.015153,           0.0057592,           0.0012468,             0.99599,                   1,               0.995,             0.89976,           0.0085041,           0.0024074,          0.00020169,            0.064668,           0.0036683,           0.0036683
                   4,            0.017381,            0.006285,           0.0023591,             0.99666,                   1,               0.995,             0.88068,           0.0085385,           0.0022525,          0.00025985,            0.055512,           0.0045119,           0.0045119
                   5,            0.016166,           0.0054778,          0.00070115,             0.99686,                   1,               0.995,             0.83456,            0.010439,           0.0024518,          0.00034546,            0.046316,           0.0053159,           0.0053159
                   6,            0.018492,           0.0061492,          0.00082568,             0.99121,                   1,               0.995,             0.72407,            0.019835,           0.0028451,           0.0004476,             0.03708,           0.0060803,           0.0060803
                   7,            0.020527,           0.0066262,           0.0010571,             0.94791,                   1,               0.995,             0.79714,            0.012384,           0.0026251,          0.00053026,            0.027805,           0.0068051,           0.0068051
                   8,            0.019502,           0.0065907,           0.0013316,             0.99725,                   1,               0.995,             0.85812,            0.011619,           0.0025581,          0.00063196,             0.01849,           0.0074902,           0.0074902
                   9,            0.023791,            0.006428,           0.0015241,             0.99566,                   1,               0.995,             0.84113,            0.011188,           0.0027267,           0.0008225,           0.0091358,           0.0081358,           0.0081358
                  10,            0.023355,           0.0070261,           0.0016947,             0.99573,                   1,               0.995,             0.80703,            0.011233,           0.0024762,          0.00094043,             0.00802,             0.00802,             0.00802
                  11,            0.024602,           0.0061355,           0.0021483,             0.99636,                   1,               0.995,             0.76919,            0.017986,           0.0029161,           0.0010823,             0.00802,             0.00802,             0.00802
                  12,            0.023555,           0.0076252,           0.0021296,             0.99571,                   1,               0.995,             0.78619,            0.013158,           0.0027893,           0.0010975,            0.007822,            0.007822,            0.007822
                  13,            0.021726,           0.0066968,           0.0021658,             0.99672,                   1,               0.995,             0.86242,            0.011841,           0.0024537,           0.0010938,            0.007624,            0.007624,            0.007624
                  14,            0.024395,           0.0064596,           0.0022889,             0.99671,                   1,               0.995,             0.85817,           0.0099079,           0.0024841,           0.0010424,            0.007426,            0.007426,            0.007426
